ieee_text,list_num,sentence_num
The STRAY CAT GAVE BIRTH to KITTENS. ,4,36
The YOUNG GIRL GAVE no CLEAR RESPONSE. ,4,37
The MEAL was COOKED BEFORE the BELL RANG. ,4,38
WHAT JOY THERE IS in LIVING. ,4,39
A KING RULED the STATE in the EARLY DAYS. ,5,40
The SHIP was TORN APART on the SHARP REEF. ,5,41
SICKNESS KEPT him HOME the THIRD WEEK. ,5,42
The WIDE ROAD SHIMMERED in the HOT SUN. ,5,43
The LAZY COW LAY in the COOL GRASS. ,5,44
LIFT the SQUARE STONE OVER the FENCE. ,5,45
The ROPE will BIND the SEVEN BOOKS at ONCE. ,5,46
HOP OVER the FENCE and PLUNGE IN. ,5,47
The FRIENDLY GANG LEFT the DRUG STORE. ,5,48
MESH WIRE KEEPS CHICKS INSIDE. ,5,49
The FROSTY AIR PASSED THROUGH the COAT. ,6,50
The CROOKED MAZE FAILED to FOOL the MOUSE. ,6,51
ADDING FAST LEADS to WRONG SUMS. ,6,52
The SHOW was a FLOP FROM the VERY START. ,6,53
A SAW is a TOOL USED for MAKING BOARDS. ,6,54
The WAGON MOVED on WELL OILED WHEELS. ,6,55
MARCH the SOLDIERS PAST the NEXT HILL. ,6,56
A CUP of SUGAR MAKES SWEET FUDGE. ,6,57
PLACE a ROSEBUSH NEAR the PORCH STEPS. ,6,58
BOTH LOST their LIVES in the RAGING STORM. ,6,59
WE TALKED of the SIDE SHOW in the CIRCUS. ,7,60
USE a PENCIL to WRITE the FIRST DRAFT. ,7,61
He RAN HALF WAY to the HARDWARE STORE. ,7,62
The CLOCK STRUCK to MARK the THIRD PERIOD. ,7,63
A SMALL CREEK CUT ACROSS the FIELD. ,7,64
CARS and BUSSES STALLED in the SNOW DRIFTS. ,7,65
The SET of CHINA HIT the FLOOR with a CRASH. ,7,66
This is a GRAND SEASON for HIKES ON the ROAD. ,7,67
The DUNE ROSE FROM the EDGE of the WATER. ,7,68
THOSE WORDS were the CUE for the ACTOR to LEAVE. ,7,69
A YACHT SLID AROUND the POINT into the BAY. ,8,70
The TWO MET WHILE PLAYING on the SAND. ,8,71
The INK STAIN DRIED on the FINISHED PAGE. ,8,72
The WALLED TOWN was SEIZED WITHOUT a FIGHT. ,8,73
The LEASE RAN OUT in SIXTEEN WEEKS. ,8,74
A TAME SQUIRREL MAKES a NICE PET. ,8,75
The HORN of the CAR WOKE the SLEEPING COP. ,8,76
The HEART BEAT STRONGLY and with FIRM STROKES. ,8,77
The PEARL was WORN in a THIN SILVER RING. ,8,78
The FRUIT PEEL was CUT in THICK SLICES. ,8,79
The NAVY ATTACKED the BIG TASK FORCE. ,9,80
SEE the CAT GLARING at the SCARED MOUSE. ,9,81
THERE are MORE than TWO FACTORS HERE. ,9,82
The HAT BRIM was WIDE and TOO DROOPY. ,9,83
The LAWYER TRIED to LOSE HIS CASE. ,9,84
The GRASS CURLED AROUND the FENCE POST. ,9,85
CUT the PIE INTO LARGE PARTS. ,9,86
MEN STRIVE but SELDOM GET RICH. ,9,87
ALWAYS CLOSE the BARN DOOR TIGHT. ,9,88
He LAY PRONE and HARDLY MOVED a LIMB. ,9,89
The SLUSH LAY DEEP ALONG the STREET. ,10,90
A WISP of CLOUD HUNG in the BLUE AIR. ,10,91
A POUND of SUGAR COSTS MORE than EGGS. ,10,92
The FIN was SHARP and CUT the CLEAR WATER. ,10,93
The PLAY SEEMS DULL and QUITE STUPID. ,10,94
BAIL the BOAT to STOP it FROM SINKING. ,10,95
The TERM ENDED in LATE JUNE that YEAR. ,10,96
A TUSK is USED to MAKE COSTLY GIFTS. ,10,97
TEN PINS were SET IN ORDER. ,10,98
The BILL was PAID EVERY THIRD WEEK. ,10,99
OAK is STRONG and ALSO GIVES SHADE. ,11,100
CATS and DOGS EACH HATE the OTHER. ,11,101
The PIPE BEGAN to RUST WHILE NEW. ,11,102
OPEN the CRATE but DON'T BREAK the GLASS. ,11,103
ADD the SUM to the PRODUCT of THESE THREE. ,11,104
THIEVES who ROB FRIENDS DESERVE JAIL. ,11,105
The RIPE TASTE of CHEESE IMPROVES with AGE. ,11,106
ACT on THESE ORDERS with GREAT SPEED. ,11,107
The HOG CRAWLED UNDER the HIGH FENCE. ,11,108
MOVE the VAT OVER the HOT FIRE. ,11,109
The BARK of the PINE TREE was SHINY and DARK. ,12,110
LEAVES TURN BROWN and YELLOW in the FALL. ,12,111
The PENNANT WAVED WHEN the WIND BLEW. ,12,112
SPLIT the LOG with a QUICK SHARP BLOW. ,12,113
BURN PEAT AFTER the LOGS give OUT. ,12,114
He ORDERED PEACH PIE with ICE CREAM. ,12,115
WEAVE the CARPET on the RIGHT HAND SIDE. ,12,116
HEMP is a WEED FOUND in PARTS of the TROPICS. ,12,117
A LAME BACK KEPT his SCORE LOW. ,12,118
WE FIND JOY in the SIMPLEST THINGS. ,12,119
TYPE OUT THREE LISTS of ORDERS. ,13,120
The HARDER he TRIED the LESS he GOT DONE. ,13,121
The BOSS RAN the SHOW with a WATCHFUL EYE. ,13,122
The CUP CRACKED and SPILLED ITS CONTENTS. ,13,123
PASTE can CLEANSE the MOST DIRTY BRASS. ,13,124
The SLANG WORD for RAW WHISKEY is BOOZE. ,13,125
It CAUGHT its HIND PAW in a RUSTY TRAP. ,13,126
The WHARF COULD be SEEN at the FARTHER SHORE. ,13,127
FEEL the HEAT of the WEAK DYING FLAME. ,13,128
The TINY GIRL TOOK OFF her HAT. ,13,129
A CRAMP is NO SMALL DANGER on a SWIM. ,14,130
He SAID the SAME PHRASE THIRTY TIMES. ,14,131
PLUCK the BRIGHT ROSE WITHOUT LEAVES. ,14,132
TWO PLUS SEVEN is LESS than TEN. ,14,133
The GLOW DEEPENED in the EYES of the SWEET GIRL. ,14,134
BRING YOUR PROBLEMS to the WISE CHIEF. ,14,135
WRITE a FOND NOTE to the FRIEND you CHERISH. ,14,136
CLOTHES and LODGING are FREE to NEW MEN. ,14,137
We FROWN when EVENTS TAKE a BAD TURN. ,14,138
PORT is a STRONG WINE with a SMOKY TASTE. ,14,139
The YOUNG KID JUMPED the RUSTY GATE. ,15,140
GUESS  the RESULTS FROM the FIRST SCORES. ,15,141
A SALT PICKLE TASTES FINE with HAM. ,15,142
The JUST CLAIM GOT the RIGHT VERDICT. ,15,143
THESE THISTLES BEND in a HIGH WIND. ,15,144
PURE BRED POODLES HAVE CURLS. ,15,145
The TREE TOP WAVED in a GRACEFUL WAY. ,15,146
The SPOT on the BLOTTER was MADE by GREEN INK. ,15,147
MUD was SPATTERED on the FRONT of his WHITE SHIRT. ,15,148
The CIGAR BURNED a HOLE in the DESK TOP. ,15,149
The EMPTY FLASK STOOD on the TIN TRAY. ,16,150
A SPEEDY MAN can BEAT this TRACK MARK. ,16,151
He BROKE a NEW SHOELACE THAT DAY. ,16,152
The COFFEE STAND is TOO HIGH for the COUCH. ,16,153
The URGE to WRITE SHORT STORIES is RARE. ,16,154
The PENCILS HAVE ALL BEEN USED. ,16,155
The PIRATES SEIZED  the CREW of the LOST SHIP. ,16,156
We TRIED to REPLACE the COIN BUT FAILED. ,16,157
She SEWED the TORN COAT QUITE NEATLY. ,16,158
The SOFA CUSHION is RED and of LIGHT WEIGHT. ,16,159
The JACKET HUNG on the BACK of the WIDE CHAIR. ,17,160
AT that HIGH LEVEL the AIR is PURE. ,17,161
DROP the TWO WHEN you ADD the FIGURES. ,17,162
A FILING CASE is NOW HARD to BUY. ,17,163
An ABRUPT START does NOT WIN the PRIZE. ,17,164
WOOD is BEST for MAKING TOYS and BLOCKS. ,17,165
"The OFFICE PAINT was a DULL, SAD TAN. ",17,166
He KNEW the SKILL of the GREAT YOUNG ACTRESS. ,17,167
A RAG will SOAK UP SPILLED WATER. ,17,168
A SHOWER of DIRT FELL from the HOT PIPES. ,17,169
STEAM HISSED FROM the BROKEN VALVE. ,18,170
The CHILD ALMOST HURT the SMALL DOG. ,18,171
THERE was a SOUND of DRY LEAVES OUTSIDE. ,18,172
The SKY that MORNING was CLEAR and BRIGHT BLUE. ,18,173
TORN SCRAPS LITTERED the STONE FLOOR. ,18,174
SUNDAY is the BEST PART OF the WEEK. ,18,175
The DOCTOR CURED HIM with THESE PILLS. ,18,176
The NEW GIRL was FIRED TODAY at NOON. ,18,177
They FELT GAY when the SHIP ARRIVED in PORT. ,18,178
ADD the STORE'S ACCOUNT to the LAST CENT. ,18,179
ACID BURNS HOLES in WOOL CLOTH. ,19,180
FAIRY TALES SHOULD be FUN to WRITE. ,19,181
EIGHT MILES of WOODLAND BURNED to WASTE. ,19,182
The THIRD ACT was DULL and TIRED the PLAYERS. ,19,183
A YOUNG CHILD should NOT SUFFER FRIGHT. ,19,184
ADD the COLUMN and PUT the SUM HERE. ,19,185
WE ADMIRE and LOVE a GOOD COOK. ,19,186
THERE the FLOOD MARK is TEN INCHES. ,19,187
He CARVED a HEAD from the ROUND BLOCK of MARBLE. ,19,188
She HAS a SMART WAY of WEARING CLOTHES. ,19,189
The FRUIT of a FIG TREE is APPLE SHAPED. ,20,190
CORN COBS can be USED to KINDLE a FIRE. ,20,191
WHERE were THEY WHEN the NOISE STARTED. ,20,192
The PAPER BOX is FULL of THUMB TACKS. ,20,193
SELL your GIFT to a BUYER at a GOOD GAIN. ,20,194
The TONGS LAY BESIDE the ICE PAIL. ,20,195
The PETALS FELL with the NEXT PUFF of WIND. ,20,196
BRING your BEST COMPASS to the THIRD CLASS. ,20,197
They COULD LAUGH ALTHOUGH they WERE SAD. ,20,198
FARMERS CAME in to THRESH the OAT CROP. ,20,199
The BROWN HOUSE was ON FIRE to the ATTIC. ,21,200
The LURE is USED to CATCH TROUT and FLOUNDER. ,21,201
FLOAT the SOAP on TOP of the BATH WATER. ,21,202
A BLUE CRANE is a TALL WADING BIRD. ,21,203
A FRESH START will WORK SUCH WONDERS. ,21,204
The CLUB RENTED the RINK for the FIFTH NIGHT. ,21,205
"AFTER the DANCE, they WENT STRAIGHT HOME. ",21,206
The HOSTESS TAUGHT the NEW MAID to SERVE. ,21,207
He WROTE his LAST NOVEL there AT the INN. ,21,208
EVEN the WORST will BEAT his LOW SCORE. ,21,209
The CEMENT had DRIED WHEN he MOVED IT. ,22,210
The LOSS of the SECOND SHIP was HARD to TAKE. ,22,211
The FLY MADE its WAY ALONG the WALL. ,22,212
DO THAT WITH a WOODEN STICK. ,22,213
LIVE WIRES SHOULD be KEPT COVERED. ,22,214
The LARGE HOUSE had HOT WATER TAPS. ,22,215
It is HARD to ERASE BLUE or RED INK. ,22,216
WRITE at ONCE or you MAY FORGET IT. ,22,217
The DOORKNOB was MADE of BRIGHT CLEAN BRASS. ,22,218
The WRECK OCCURRED by the BANK on MAIN STREET. ,22,219
A PENCIL with BLACK LEAD WRITES BEST. ,23,220
COAX a YOUNG CALF to DRINK from a BUCKET. ,23,221
SCHOOLS for LADIES TEACH CHARM and GRACE. ,23,222
The LAMP SHONE with a STEADY GREEN FLAME. ,23,223
They TOOK the AX and the SAW TO the FOREST. ,23,224
The ANCIENT COIN was QUITE DULL and WORN. ,23,225
The SHAKY BARN FELL with a LOUD CRASH. ,23,226
JAZZ and SWING FANS like FAST MUSIC. ,23,227
RAKE the RUBBISH UP and then BURN IT. ,23,228
SLASH the GOLD CLOTH into FINE RIBBONS. ,23,229
TRY to HAVE the COURT DECIDE the CASE. ,24,230
They are PUSHED BACK EACH TIME they ATTACK. ,24,231
He BROKE his TIES with GROUPS of FORMER FRIENDS. ,24,232
They FLOATED on the RAFT to SUN their WHITE BACKS. ,24,233
The MAP HAD an X that MEANT NOTHING. ,24,234
WHITINGS are SMALL FISH CAUGHT in NETS. ,24,235
SOME ADS SERVE to CHEAT BUYERS. ,24,236
JERK the ROPE and the BELL RINGS WEAKLY. ,24,237
A WAXED FLOOR MAKES us LOSE BALANCE. ,24,238
"MADAM, THIS is the BEST BRAND of CORN. ",24,239
On the ISLANDS the SEA BREEZE is SOFT and MILD. ,25,240
The PLAY BEGAN as SOON as we SAT DOWN. ,25,241
This will LEAD the WORLD to MORE SOUND and FURY. ,25,242
ADD SALT BEFORE you FRY the EGG. ,25,243
The RUSH for FUNDS REACHED its PEAK TUESDAY. ,25,244
The BIRCH LOOKED STARK WHITE and LONESOME. ,25,245
The BOX is HELD by a BRIGHT RED SNAPPER. ,25,246
"To MAKE PURE ICE, you FREEZE WATER. ",25,247
The FIRST WORM GETS SNAPPED EARLY. ,25,248
JUMP the FENCE and HURRY UP the BANK. ,25,249
YELL and CLAP as the CURTAIN SLIDES BACK. ,26,250
They are MEN WHO WALK the MIDDLE of the ROAD. ,26,251
BOTH BROTHERS WEAR the SAME SIZE. ,26,252
In SOME FORM or OTHER we NEED FUN. ,26,253
The PRINCE ORDERED his HEAD CHOPPED OFF. ,26,254
The HOUSES are BUILT of RED CLAY BRICKS. ,26,255
DUCKS FLY NORTH but LACK a COMPASS. ,26,256
FRUIT FLAVORS are USED in FIZZ DRINKS. ,26,257
These PILLS DO LESS GOOD than OTHERS. ,26,258
CANNED PEARS LACK FULL FLAVOR. ,26,259
The DARK POT HUNG in the FRONT CLOSET. ,27,260
CARRY the PAIL to the WALL and SPILL it THERE. ,27,261
The TRAIN BROUGHT our HERO to the BIG TOWN. ,27,262
WE are SURE that ONE WAR is ENOUGH. ,27,263
GRAY PAINT STRETCHED for MILES AROUND. ,27,264
The RUDE LAUGH FILLED the EMPTY ROOM. ,27,265
HIGH SEATS are BEST for FOOTBALL FANS. ,27,266
TEA SERVED from the BROWN JUG is TASTY. ,27,267
A DASH of PEPPER SPOILS BEEF STEW. ,27,268
A ZESTFUL FOOD is the HOT CROSS BUN. ,27,269
The HORSE TROTTED around the FIELD at a BRISK PACE. ,28,270
FIND the TWIN who STOLE the PEARL NECKLACE. ,28,271
CUT the CORD that BINDS the BOX TIGHTLY. ,28,272
The RED TAPE BOUND the SMUGGLED FOOD. ,28,273
LOOK in the CORNER to FIND the TAN SHIRT. ,28,274
The COLD DRIZZLE will HALT the BOND DRIVE. ,28,275
NINE MEN were HIRED to DIG the RUINS. ,28,276
The JUNK YARD HAD a MOLDY SMELL. ,28,277
The FLINT SPUTTERED and LIT a PINE TORCH. ,28,278
SOAK the CLOTH and DROWN the SHARP ODOR. ,28,279
The SHELVES were BARE of BOTH JAM or CRACKERS. ,29,280
A JOY to EVERY CHILD is the SWAN BOAT. ,29,281
ALL SAT FROZEN and WATCHED the SCREEN. ,29,282
A CLOUD of DUST STUNG his TENDER EYES. ,29,283
To REACH the END he NEEDS MUCH COURAGE. ,29,284
SHAPE the CLAY GENTLY into BLOCK FORM. ,29,285
A RIDGE on a SMOOTH SURFACE is a BUMP or FLAW. ,29,286
HEDGE APPLES may STAIN your HANDS GREEN. ,29,287
"QUENCH your THIRST, THEN EAT the CRACKERS. ",29,288
TIGHT CURLS get LIMP on RAINY DAYS. ,29,289
The MUTE MUFFLED the HIGH TONES of the HORN. ,30,290
The GOLD RING FITS only a PIERCED EAR. ,30,291
The OLD PAN was COVERED with HARD FUDGE. ,30,292
WATCH the LOG FLOAT in the WIDE RIVER. ,30,293
The NODE on the STALK of WHEAT GREW DAILY. ,30,294
The HEAP of FALLEN LEAVES was SET on FIRE. ,30,295
WRITE FAST if you WANT to FINISH EARLY. ,30,296
His SHIRT was CLEAN but ONE BUTTON was GONE. ,30,297
The BARREL of BEER was a BREW of MALT and HOPS. ,30,298
TIN CANS are ABSENT from STORE SHELVES. ,30,299
SLIDE the BOX INTO that EMPTY SPACE. ,31,300
The PLANT GREW LARGE and GREEN in the WINDOW. ,31,301
The BEAM DROPPED DOWN on the WORKMAN'S HEAD. ,31,302
PINK CLOUDS FLOATED WITH the BREEZE. ,31,303
"She DANCED LIKE a SWAN, TALL and GRACEFUL. ",31,304
The TUBE was BLOWN and TIRE FLAT and USELESS. ,31,305
It is LATE MORNING on the OLD WALL CLOCK. ,31,306
LET'S all JOIN as we SING the LAST CHORUS. ,31,307
The LAST SWITCH CANNOT be TURNED OFF. ,31,308
The FIGHT will END in JUST SIX MINUTES. ,31,309
The STORE WALLS were LINED with COLORED FROCKS. ,32,310
The PEACE LEAGUE MET to DISCUSS their PLANS. ,32,311
The RISE to FAME of a PERSON TAKES LUCK. ,32,312
"PAPER is SCARCE, so WRITE with MUCH CARE. ",32,313
The QUICK FOX JUMPED on the SLEEPING CAT. ,32,314
The NOZZLE of the FIRE HOSE was BRIGHT BRASS. ,32,315
SCREW the ROUND CAP on as TIGHT as NEEDED. ,32,316
TIME BRINGS US MANY CHANGES. ,32,317
The PURPLE TIE was TEN YEARS OLD. ,32,318
MEN THINK and PLAN and SOMETIMES ACT. ,32,319
FILL the INK JAR with STICKY GLUE. ,33,320
He SMOKES a BIG PIPE with STRONG CONTENTS. ,33,321
We NEED GRAIN to KEEP our MULES HEALTHY. ,33,322
PACK the RECORDS in a NEAT THIN CASE. ,33,323
The CRUNCH of FEET in the SNOW was the ONLY SOUND. ,33,324
The COPPER BOWL SHONE in the SUN'S RAYS. ,33,325
BOARDS will WARP UNLESS KEPT DRY. ,33,326
The PLUSH CHAIR LEANED AGAINST the WALL. ,33,327
GLASS will CLINK when STRUCK BY METAL. ,33,328
BATHE and RELAX in the COOL GREEN GRASS. ,33,329
NINE ROWS of SOLDIERS STOOD in LINE. ,34,330
The BEACH is DRY and SHALLOW at LOW TIDE. ,34,331
The IDEA is to SEW BOTH EDGES STRAIGHT. ,34,332
The KITTEN CHASED the DOG DOWN the STREET. ,34,333
PAGES BOUND in CLOTH MAKE a BOOK. ,34,334
TRY to TRACE the FINE LINES of the PAINTING. ,34,335
WOMEN FORM LESS than HALF of the GROUP. ,34,336
The ZONES MERGE in the CENTRAL PART of TOWN. ,34,337
A GEM in the ROUGH NEEDS WORK to POLISH. ,34,338
CODE is USED WHEN SECRETS are SENT. ,34,339
MOST of the NEWS is EASY for US to BEAR. ,35,340
He USED the LATHE to MAKE BRASS OBJECTS. ,35,341
The VANE on TOP of the POLE REVOLVED in the WIND. ,35,342
MINCE PIE is a DISH SERVED to CHILDREN. ,35,343
The CLAN GATHERED on EACH DULL NIGHT. ,35,344
"LET it BURN, it GIVES us WARMTH and COMFORT. ",35,345
A CASTLE BUILT from SAND FAILS to ENDURE. ,35,346
A CHILD'S WIT SAVED the DAY for US. ,35,347
TACK the STRIP of CARPET to the WORN FLOOR. ,35,348
NEXT TUESDAY WE MUST VOTE. ,35,349
POUR the STEW from the POT INTO the PLATE. ,36,350
EACH PENNY SHONE LIKE NEW. ,36,351
The MAN WENT to the WOODS to GATHER STICKS. ,36,352
The DIRT PILES were LINED ALONG the ROAD. ,36,353
The LOGS FELL and TUMBLED into the CLEAR STREAM. ,36,354
JUST HOIST it UP and TAKE it AWAY. ,36,355
A RIPE PLUM is FIT for a KING'S PALATE. ,36,356
OUR PLANS RIGHT NOW are HAZY. ,36,357
BRASS RINGS are SOLD by THESE NATIVES. ,36,358
It TAKES a GOOD TRAP to CAPTURE a BEAR. ,36,359
FEED the WHITE MOUSE some FLOWER SEEDS. ,37,360
The THAW CAME EARLY and FREED the STREAM. ,37,361
He TOOK the LEAD and KEPT it the WHOLE DISTANCE. ,37,362
The KEY YOU DESIGNED will FIT the LOCK. ,37,363
PLEAD to the COUNCIL to FREE the POOR THIEF. ,37,364
BETTER HASH is MADE of RARE BEEF. ,37,365
THIS PLANK was MADE for WALKING ON. ,37,366
The LAKE SPARKLED in the RED HOT SUN. ,37,367
He CRAWLED WITH CARE ALONG the LEDGE. ,37,368
TEND the SHEEP WHILE the DOG WANDERS. ,37,369
It TAKES a LOT of HELP to FINISH THESE. ,38,370
MARK the SPOT with a SIGN PAINTED RED. ,38,371
TAKE TWO SHARES as a FAIR PROFIT. ,38,372
The FUR of CATS GOES by MANY NAMES. ,38,373
NORTH WINDS BRING COLDS and FEVERS. ,38,374
He ASKS NO PERSON to VOUCH for HIM. ,38,375
GO NOW and COME HERE LATER. ,38,376
A SASH of GOLD SILK will TRIM her DRESS. ,38,377
SOAP can WASH MOST DIRT AWAY. ,38,378
THAT MOVE MEANS the GAME is OVER. ,38,379
He WROTE DOWN a LONG LIST of ITEMS. ,39,380
A SIEGE WILL CRACK the STRONG DEFENSE. ,39,381
GRAPE JUICE and WATER MIX WELL. ,39,382
ROADS are PAVED WITH STICKY TAR. ,39,383
FAKE STONES SHINE but COST LITTLE. ,39,384
The DRIP of the RAIN MADE a PLEASANT SOUND. ,39,385
SMOKE POURED OUT of EVERY CRACK. ,39,386
SERVE the HOT RUM to the TIRED HEROES. ,39,387
MUCH of the STORY MAKES GOOD SENSE. ,39,388
The SUN CAME up to LIGHT the EASTERN SKY. ,39,389
HEAVE the LINE OVER the PORT SIDE. ,40,390
A LATHE CUTS and TRIMS ANY WOOD. ,40,391
It's a DENSE CROWD in TWO DISTINCT WAYS. ,40,392
His HIP STRUCK the KNEE of the NEXT PLAYER. ,40,393
The STALE SMELL of OLD BEER LINGERS. ,40,394
The DESK was FIRM ON the SHAKY FLOOR. ,40,395
It TAKES HEAT to BRING OUT the ODOR. ,40,396
BEEF is SCARCER THAN SOME LAMB. ,40,397
RAISE the SAIL and STEER the SHIP NORTHWARD. ,40,398
A CONE COSTS FIVE CENTS on MONDAYS. ,40,399
A POD is what PEAS ALWAYS GROW IN. ,41,400
JERK the DART FROM the CORK TARGET. ,41,401
NO CEMENT will HOLD HARD WOOD. ,41,402
We NOW HAVE a NEW BASE for SHIPPING. ,41,403
A LIST of NAMES is CARVED AROUND the BASE. ,41,404
The SHEEP were LED HOME BY a DOG. ,41,405
"THREE for a DIME, the YOUNG PEDDLER CRIED. ",41,406
The SENSE of SMELL is BETTER THAN that of TOUCH. ,41,407
NO HARDSHIP seemed to KEEP HIM SAD. ,41,408
GRACE MAKES UP for LACK of BEAUTY. ,41,409
NUDGE GENTLY but WAKE HER NOW. ,42,410
The NEWS STRUCK DOUBT into RESTLESS MINDS. ,42,411
ONCE WE STOOD BESIDE the SHORE. ,42,412
A CHINK in the WALL ALLOWED a DRAFT to BLOW. ,42,413
FASTEN TWO PINS on EACH SIDE. ,42,414
A COLD DIP RESTORES HEALTH and ZEST. ,42,415
He TAKES the OATH of OFFICE EACH MARCH. ,42,416
The SAND DRIFTS OVER the SILL of the old HOUSE. ,42,417
The POINT of the STEEL PEN was BENT and TWISTED. ,42,418
THERE is a LAG BETWEEN THOUGHT and ACT. ,42,419
SEED is NEEDED to PLANT the SPRING CORN. ,43,420
DRAW the CHART with HEAVY BLACK LINES. ,43,421
The BOY OWED his PAL THIRTY CENTS. ,43,422
The CHAP SLIPPED INTO the CROWD and was LOST. ,43,423
HATS are WORN to TEA and NOT to DINNER. ,43,424
The RAMP LED UP to the WIDE HIGHWAY. ,43,425
BEAT the DUST from the RUG ONTO the LAWN. ,43,426
SAY it SLOWLY but MAKE it RING CLEAR. ,43,427
The STRAW NEST HOUSED FIVE ROBINS. ,43,428
SCREEN the PORCH with WOVEN STRAW MATS. ,43,429
THIS HORSE will NOSE his WAY to the FINISH. ,44,430
The DRY WAX PROTECTS the DEEP SCRATCH. ,44,431
He PICKED UP the DICE for a SECOND ROLL. ,44,432
THESE COINS will be NEEDED to PAY his DEBT. ,44,433
The NAG PULLED the FRAIL CART ALONG. ,44,434
TWIST the VALVE and RELEASE HOT STEAM. ,44,435
The VAMP of the SHOE HAD a GOLD BUCKLE. ,44,436
The SMELL of BURNED RAGS ITCHES my NOSE. ,44,437
NEW PANTS LACK CUFFS and POCKETS. ,44,438
The MARSH will FREEZE WHEN COLD ENOUGH. ,44,439
They SLICE the SAUSAGE THIN WITH a KNIFE. ,45,440
The BLOOM of the ROSE LASTS a FEW DAYS. ,45,441
A GRAY MARE WALKED BEFORE the COLT. ,45,442
BREAKFAST BUNS are FINE with a HOT DRINK. ,45,443
BOTTLES HOLD FOUR KINDS of RUM. ,45,444
The MAN WORE a FEATHER in his FELT HAT. ,45,445
He WHEELED the BIKE PAST the WINDING ROAD. ,45,446
DROP the ASHES on the WORN OLD RUG. ,45,447
The DESK and BOTH CHAIRS were PAINTED TAN. ,45,448
THROW out the USED PAPER CUP and PLATE. ,45,449
A CLEAN NECK MEANS a NEAT COLLAR. ,46,450
The COUCH COVER and HALL DRAPES were BLUE. ,46,451
The STEMS of the TALL GLASSES CRACKED and BROKE. ,46,452
The WALL PHONE RANG LOUD and OFTEN. ,46,453
The CLOTHES DRIED on a THIN WOODEN RACK. ,46,454
TURN on the LANTERN WHICH GIVES us LIGHT. ,46,455
The CLEAT SANK DEEPLY into the SOFT TURF. ,46,456
The BILLS were MAILED PROMPTLY on the TENTH of the MONTH. ,46,457
To HAVE is BETTER THAN to WAIT and HOPE. ,46,458
The PRICE is FAIR for a GOOD ANTIQUE CLOCK. ,46,459
The MUSIC PLAYED ON WHILE they TALKED. ,47,460
DISPENSE with a VEST on a DAY LIKE THIS. ,47,461
The BUNCH of GRAPES was PRESSED INTO WINE. ,47,462
"He SENT the FIGS, but KEPT the RIPE CHERRIES. ",47,463
The HINGE on the DOOR CREAKED with OLD AGE. ,47,464
The SCREEN BEFORE the FIRE KEPT in the SPARKS. ,47,465
"FLY by NIGHT, and you WASTE LITTLE TIME. ",47,466
THICK GLASSES HELPED him READ the PRINT. ,47,467
BIRTH and DEATH MARK the LIMITS of LIFE. ,47,468
The CHAIR LOOKED STRONG but had NO BOTTOM. ,47,469
The KITE FLEW WILDLY in the HIGH WIND. ,48,470
A FUR MUFF is STYLISH ONCE MORE. ,48,471
The TIN BOX HELD PRICELESS STONES. ,48,472
We NEED an END of ALL SUCH MATTER. ,48,473
The CASE WAS PUZZLING to the OLD and WISE. ,48,474
